"","req","item_req","texto_req","grupo_mercadoria","nm","valor_estimado","oportunidade","item_oportunidade"
"2366","0029234625",20,"Projetor ilum. 150W IP66/67 Ex nC","39111704","000000000011996372",2118.56,"7003475522",2
"2367","0030110793",10,"Lumin. LED 41W 220Vca/cc Ex ec","39111501A","000000000011952520",2657.61,"7003475522",4
"2368","0028354907",10,"Válvula seg/alív. 1 1/2x 3"" FJAxFR A351-","40141606","000000000011480211",3300,"7003460197",2
"2369","0030702068",10,"Relé multifunção digital f=25 f=27 f=46","39122323","000000000010175062",8867.58,"7003463095",3
"2370","0030702068",20,"Relé multifunção digital f=25 f=27 f=46","39122323","000000000010175062",20507.23,NA,0
"2371","0030989790",10,"Válvula hidráulica Direcional","40141608","000000000012575921",79695,NA,0
"2372","0030551583",10,"Regulador pressão pré-calibrada","40142201","000000000010973183",588.14,NA,0
"2373","0029625151",10,"Môdulo eletrônico p/conv.freq. Weg","39121007A","000000000012488404",44100,NA,0
"2374","0030666102",10,"Disjuntor 3P extraív vácuo 12kV 2500A","39121602","000000000011843621",49292.25,NA,0
"2375","4003019926",10,"Acumulador Pb-ácido 12V 75Ah C10","26111707","000000000012656093",2000,"7003582113",8
"2376","0029871208",20,"Vv.controle borb. NPS 14 Cv7600","40141609","000000000012224426",235424.46,NA,0
"2377","0030989857",10,"Transm.pressão dif. 0a100kgf/cm2","41112410","000000000012660811",14984.86,"7003550175",10
"2378","0030111491",10,"Junta espec. p/válv.solenóide Bifold","40141616","000000000010794172",2779.71,"7003551460",3
"2379","0029991069",10,"SDV esf. NPS 18 AC A350 LF2 c/atuador pn","40141609A","000000000012052242",160000,"7003549899",5
"2380","0030922719",10,"SDV-Vv.bloq.emerg, esfera, DN 14"" 150 FR","40141609A","000000000012652979",303447.37,NA,0
"2381","0030978387",10,"SDV esf. NPS 4 AC A216 WCB c/atuador pne","40141609A","000000000012249021",70000,"7003549899",13
"2382","0030003087",10,"Válvula gav. 7 1/16"" 10000# Fur. API 6BX","40141613","000000000012563987",435000,NA,0
"2383","0030284565",10,"Válvula borboleta lug 18"" 150# C95800","40141619","000000000011503553",55369.51,"7003549900",6
"2384","0030859869",10,"Junta de exp. axial 4170x3090x500mm","40142312","000000000012580217",190000,"7003551192",3
"2385","0030864624",10,"Junta de exp. axial 24""x650mm","40142312","000000000010743844",104822.72,"7003551192",4
"2386","0028552105",10,"Posicionador eletropneum. 3a6""","40141600E","000000000011605437",17952.97,"7003549584",1
"2387","0030693050",10,"Rotâmetro 1/2"" 65-620NLPM","41112503","000000000012622366",52980,"7003576139",1
"2388","0030013445",10,"Atuador intel. multvoltas 81Nm","31251501","000000000011435993",27036.24,"7003297128",10
"2389","0030013445",20,"Atuador intel. multvoltas 81Nm","31251501","000000000011435993",29018.14,NA,0
"2390","0030296203",10,"Atuador hidráulico rotativo 8000Nm","31251503","000000000012549329",55000,"7003462076",4
"2391","0027710454",10,"Tampão PIG art. horiz A216-WCB 4"" 300#","40142400C","000000000010076882",7795.35,NA,0
"2392","0030281962",10,"Tampão PIG fec ráp A105 4"" 600#","40142400C","000000000010662448",6131.03,"7003465351",2
